source,target,weight
1133737532443766784,18839785,454
1133737532443766784,249520655,21
18839785,249520655,158
120649992,1289235667516456962,36
120649992,147994804,18
120649992,18839785,68
120649992,322430350,7
120649992,355989081,58
120649992,702001481247911936,12
1289235667516456962,147994804,68
1289235667516456962,18839785,278
1289235667516456962,322430350,13
1289235667516456962,355989081,192
1289235667516456962,702001481247911936,27
147994804,18839785,353
147994804,322430350,17
147994804,355989081,208
147994804,702001481247911936,18
18839785,322430350,54
18839785,355989081,2885
18839785,702001481247911936,84
322430350,355989081,38
322430350,702001481247911936,7
355989081,702001481247911936,58
1323885145577807872,18839785,35
1324334436,1657730988,1
1324334436,18839785,615
1324334436,2150403589,5
1324334436,2289628938,24
1324334436,2451476942,31
1324334436,355989081,226
1324334436,37034483,6
1324334436,39743812,17
1324334436,44839509,2
1324334436,45261768,1
1324334436,887606425479856128,81
1657730988,18839785,3
1657730988,2150403589,6
1657730988,2289628938,1
1657730988,2451476942,1
1657730988,355989081,7
1657730988,37034483,7
1657730988,39743812,2
1657730988,44839509,1
1657730988,45261768,26
1657730988,887606425479856128,2
18839785,2150403589,88
18839785,2289628938,74
18839785,2451476942,211
18839785,37034483,57
18839785,39743812,142
18839785,44839509,26
18839785,45261768,6
18839785,887606425479856128,432
2150403589,2289628938,2
2150403589,2451476942,3
2150403589,355989081,45
2150403589,37034483,9
2150403589,39743812,7
2150403589,44839509,2
2150403589,45261768,24
2150403589,887606425479856128,15
2289628938,2451476942,5
2289628938,355989081,35
2289628938,37034483,3
2289628938,39743812,7
2289628938,44839509,1
2289628938,45261768,1
2289628938,887606425479856128,24
2451476942,355989081,138
2451476942,37034483,5
2451476942,39743812,27
2451476942,44839509,5
2451476942,45261768,1
2451476942,887606425479856128,27
355989081,37034483,45
355989081,39743812,102
355989081,44839509,21
355989081,45261768,44
355989081,887606425479856128,185
37034483,39743812,11
37034483,44839509,2
37034483,45261768,13
37034483,887606425479856128,9
39743812,44839509,5
39743812,45261768,1
39743812,887606425479856128,15
44839509,45261768,1
44839509,887606425479856128,3
45261768,887606425479856128,2
1065563383,143409262,5
1065563383,18839785,574
1065563383,355989081,268
1065563383,43077446,1
143409262,18839785,44
143409262,355989081,33
143409262,43077446,1
18839785,43077446,11
355989081,43077446,12
120649992,1934388686,16
18839785,1934388686,323
1934388686,355989081,163
18839785,2512765266,43
18839785,318673863,829
2512765266,318673863,2
1065563383,1897514666,32
18839785,1897514666,83
1289235667516456962,146360682,53
1289235667516456962,4255658358,53
146360682,18839785,902
146360682,4255658358,147
18839785,4255658358,602
18839785,941134694,4
355989081,941134694,13
138822469,18839785,15
1368737382,18839785,559
18839785,974143844,163
18839785,20751449,44
18839785,3241214268,181
18839785,34245009,54
18839785,44425241,130
18839785,61121030,314
20751449,3241214268,8
20751449,34245009,13
20751449,355989081,36
20751449,39743812,18
20751449,44425241,11
20751449,61121030,8
3241214268,34245009,9
3241214268,355989081,85
3241214268,39743812,10
3241214268,44425241,13
3241214268,61121030,11
34245009,355989081,33
34245009,39743812,14
34245009,44425241,10
34245009,61121030,3
355989081,44425241,84
355989081,61121030,108
39743812,44425241,14
39743812,61121030,15
44425241,61121030,10
1100927498,1247238336084729856,2
1100927498,137656171,17
1100927498,18839785,325
1100927498,2150403589,8
1100927498,253512688,17
1100927498,355989081,153
1100927498,3582554773,8
1100927498,39743812,19
1100927498,44425241,8
1100927498,53313935,2
1100927498,702001481247911936,8
1100927498,711760467383877632,12
1247238336084729856,137656171,1
1247238336084729856,18839785,22
1247238336084729856,2150403589,1
1247238336084729856,253512688,2
1247238336084729856,355989081,13
1247238336084729856,3582554773,2
1247238336084729856,39743812,1
1247238336084729856,44425241,1
1247238336084729856,53313935,1
1247238336084729856,702001481247911936,2
1247238336084729856,711760467383877632,1
137656171,18839785,225
137656171,2150403589,2
137656171,253512688,23
137656171,355989081,114
137656171,3582554773,10
137656171,39743812,11
137656171,44425241,10
137656171,53313935,3
137656171,702001481247911936,7
137656171,711760467383877632,7
18839785,253512688,218
18839785,3582554773,80
18839785,53313935,26
18839785,711760467383877632,69
2150403589,253512688,2
2150403589,3582554773,4
2150403589,44425241,2
2150403589,53313935,5
2150403589,702001481247911936,2
2150403589,711760467383877632,1
253512688,355989081,171
253512688,3582554773,12
253512688,39743812,27
253512688,44425241,20
253512688,53313935,5
253512688,702001481247911936,11
253512688,711760467383877632,5
355989081,3582554773,60
355989081,53313935,17
355989081,711760467383877632,37
3582554773,39743812,11
3582554773,44425241,6
3582554773,53313935,2
3582554773,702001481247911936,8
3582554773,711760467383877632,3
39743812,53313935,5
39743812,702001481247911936,11
39743812,711760467383877632,14
44425241,53313935,13
44425241,702001481247911936,23
44425241,711760467383877632,9
53313935,702001481247911936,8
53313935,711760467383877632,2
702001481247911936,711760467383877632,7
18839785,2590932906,208
18839785,28082599,163
18839785,390677061,1554
2590932906,28082599,13
2590932906,390677061,44
28082599,390677061,74
1065563383,1318769408613863426,8
1065563383,1368737382,78
1065563383,147994804,59
1065563383,318673863,74
1065563383,635895185,47
1318769408613863426,1368737382,5
1318769408613863426,147994804,18
1318769408613863426,18839785,49
1318769408613863426,318673863,22
1318769408613863426,635895185,8
1368737382,147994804,33
1368737382,318673863,61
1368737382,635895185,29
147994804,318673863,234
147994804,635895185,34
18839785,635895185,232
318673863,635895185,68
1184085522248949760,18839785,43
1184085522248949760,469503746,5
1184085522248949760,571479724,4
18839785,469503746,7
18839785,571479724,15
469503746,571479724,2
18839785,285655507,255
18839785,797720168713441280,729
285655507,797720168713441280,67
1133737532443766784,129057534,19
1133737532443766784,143409262,10
1133737532443766784,161634802,24
1133737532443766784,313385516,25
1133737532443766784,4255658358,110
1133737532443766784,65851020,10
1133737532443766784,797720168713441280,81
129057534,143409262,5
129057534,161634802,19
129057534,18839785,139
129057534,313385516,20
129057534,4255658358,41
129057534,65851020,2
129057534,797720168713441280,40
143409262,161634802,5
143409262,313385516,11
143409262,4255658358,15
143409262,65851020,5
143409262,797720168713441280,15
161634802,18839785,124
161634802,313385516,14
161634802,4255658358,38
161634802,65851020,5
161634802,797720168713441280,30
18839785,313385516,124
18839785,65851020,45
313385516,4255658358,33
313385516,65851020,4
313385516,797720168713441280,40
4255658358,65851020,10
4255658358,797720168713441280,112
65851020,797720168713441280,13
131188226,146360682,165
131188226,18839785,771
131188226,355989081,404
146360682,355989081,356
107724957,1100927498,5
107724957,120649992,5
107724957,131188226,2
107724957,146360682,4
107724957,18839785,32
107724957,368753165,4
107724957,52119862,2
107724957,887606425479856128,4
1100927498,120649992,1
1100927498,131188226,44
1100927498,146360682,51
1100927498,368753165,2
1100927498,52119862,8
1100927498,887606425479856128,57
120649992,131188226,21
120649992,146360682,14
120649992,368753165,8
120649992,52119862,4
120649992,887606425479856128,8
131188226,368753165,10
131188226,52119862,21
131188226,887606425479856128,90
146360682,368753165,4
146360682,52119862,11
146360682,887606425479856128,109
18839785,368753165,20
18839785,52119862,68
368753165,52119862,3
368753165,887606425479856128,4
52119862,887606425479856128,5
1368737382,146360682,85
1368737382,16404141,17
1368737382,3489768920,48
1368737382,355989081,205
1368737382,390677061,150
1368737382,735095544,32
1368737382,74980737,24
1368737382,811972460560019456,20
146360682,16404141,20
146360682,3489768920,132
146360682,390677061,261
146360682,735095544,57
146360682,74980737,39
146360682,811972460560019456,39
16404141,18839785,78
16404141,3489768920,20
16404141,355989081,53
16404141,390677061,45
16404141,735095544,9
16404141,74980737,15
16404141,811972460560019456,6
18839785,3489768920,790
18839785,735095544,188
18839785,74980737,185
18839785,811972460560019456,130
3489768920,355989081,397
3489768920,390677061,190
3489768920,735095544,28
3489768920,74980737,30
3489768920,811972460560019456,24
355989081,390677061,644
355989081,735095544,100
355989081,74980737,121
355989081,811972460560019456,84
390677061,735095544,88
390677061,74980737,66
390677061,811972460560019456,43
735095544,74980737,16
735095544,811972460560019456,12
74980737,811972460560019456,33
131188226,240649814,71
131188226,245687754,17
131188226,37034483,2
131188226,738149822,69
131188226,74995974,4
18839785,240649814,282
18839785,245687754,80
18839785,738149822,213
18839785,74995974,21
240649814,245687754,20
240649814,355989081,201
240649814,37034483,22
240649814,738149822,29
240649814,74995974,3
245687754,355989081,72
245687754,37034483,5
245687754,738149822,5
245687754,74995974,3
355989081,738149822,115
355989081,74995974,13
37034483,738149822,1
37034483,74995974,1
738149822,74995974,2
18839785,332188446,297
18839785,77732185,126
1133737532443766784,1234525248491442179,15
1133737532443766784,332188446,39
1133737532443766784,3489768920,85
1133737532443766784,355989081,225
1133737532443766784,389013000,12
1133737532443766784,61121030,34
1133737532443766784,75193964,63
1234525248491442179,18839785,81
1234525248491442179,332188446,5
1234525248491442179,3489768920,15
1234525248491442179,355989081,47
1234525248491442179,389013000,5
1234525248491442179,61121030,4
1234525248491442179,75193964,10
18839785,389013000,39
18839785,75193964,391
332188446,3489768920,104
332188446,355989081,195
332188446,389013000,7
332188446,61121030,16
332188446,75193964,64
3489768920,389013000,13
3489768920,61121030,45
3489768920,75193964,96
355989081,389013000,30
355989081,75193964,233
389013000,61121030,3
389013000,75193964,12
61121030,75193964,22
285655507,75193964,58
1133737532443766784,147994804,56
1100927498,17741799,8
1100927498,1934388686,20
1100927498,28082599,12
1100927498,61121030,25
1100927498,75193964,23
17741799,18839785,209
17741799,1934388686,52
17741799,28082599,21
17741799,61121030,17
17741799,702001481247911936,16
17741799,75193964,33
1934388686,28082599,27
1934388686,61121030,26
1934388686,702001481247911936,14
1934388686,75193964,60
28082599,61121030,22
28082599,702001481247911936,10
28082599,75193964,29
61121030,702001481247911936,6
702001481247911936,75193964,16
1112714156887543808,18839785,102
1112714156887543808,887606425479856128,22
253512688,318673863,44
253512688,635895185,40
253512688,738149822,12
318673863,355989081,362
318673863,738149822,82
355989081,635895185,147
635895185,738149822,33
1065563383,137656171,42
1065563383,253512688,54
1065563383,2590932906,26
1065563383,28082599,41
1065563383,75193964,90
1065563383,75489786,34
137656171,2590932906,15
137656171,28082599,17
137656171,635895185,18
137656171,75193964,34
137656171,75489786,9
18839785,75489786,107
253512688,2590932906,25
253512688,28082599,18
253512688,75193964,59
253512688,75489786,17
2590932906,355989081,120
2590932906,635895185,20
2590932906,75193964,22
2590932906,75489786,6
28082599,355989081,107
28082599,635895185,28
28082599,75489786,16
355989081,75489786,69
635895185,75193964,58
635895185,75489786,20
75193964,75489786,24
355989081,65851020,25
1349124297034498049,18839785,152
1349124297034498049,318673863,63
18839785,2596143056,285
1289235667516456962,285655507,43
1289235667516456962,797720168713441280,136
1368737382,50944856,25
18839785,50944856,150
355989081,50944856,103
105130840,107724957,1
105130840,1247238336084729856,5
105130840,125672370,8
105130840,131188226,21
105130840,1324334436,13
105130840,1349124297034498049,6
105130840,147994804,15
105130840,18373968,3
105130840,18839785,61
105130840,198030688,4
105130840,215685563,1
105130840,240649814,10
105130840,249520655,11
105130840,29398579,5
105130840,3018719294,4
105130840,303783976,5
105130840,313385516,14
105130840,318673863,18
105130840,355989081,45
105130840,3582554773,7
105130840,438525539,3
105130840,52119862,7
105130840,61121030,6
105130840,738149822,17
105130840,74980737,8
105130840,77509999,12
105130840,974143844,5
107724957,1247238336084729856,1
107724957,125672370,2
107724957,1324334436,1
107724957,1349124297034498049,2
107724957,147994804,9
107724957,18373968,2
107724957,198030688,3
107724957,215685563,2
107724957,240649814,3
107724957,249520655,3
107724957,29398579,4
107724957,3018719294,2
107724957,303783976,2
107724957,313385516,9
107724957,318673863,9
107724957,355989081,19
107724957,3582554773,2
107724957,438525539,2
107724957,61121030,3
107724957,738149822,13
107724957,74980737,6
107724957,77509999,8
107724957,974143844,2
1247238336084729856,125672370,1
1247238336084729856,131188226,4
1247238336084729856,1324334436,1
1247238336084729856,1349124297034498049,2
1247238336084729856,147994804,2
1247238336084729856,18373968,1
1247238336084729856,198030688,2
1247238336084729856,215685563,1
1247238336084729856,240649814,4
1247238336084729856,249520655,3
1247238336084729856,29398579,1
1247238336084729856,3018719294,1
1247238336084729856,303783976,1
1247238336084729856,313385516,2
1247238336084729856,318673863,7
1247238336084729856,438525539,1
1247238336084729856,52119862,1
1247238336084729856,61121030,2
1247238336084729856,738149822,2
1247238336084729856,74980737,1
1247238336084729856,77509999,3
1247238336084729856,974143844,3
125672370,131188226,7
125672370,1324334436,6
125672370,1349124297034498049,5
125672370,147994804,8
125672370,18373968,1
125672370,18839785,26
125672370,198030688,3
125672370,215685563,1
125672370,240649814,1
125672370,249520655,3
125672370,29398579,1
125672370,3018719294,6
125672370,303783976,2
125672370,313385516,7
125672370,318673863,10
125672370,355989081,18
125672370,3582554773,1
125672370,438525539,1
125672370,52119862,3
125672370,61121030,1
125672370,738149822,8
125672370,74980737,5
125672370,77509999,4
125672370,974143844,1
131188226,1324334436,126
131188226,1349124297034498049,32
131188226,147994804,96
131188226,18373968,17
131188226,198030688,15
131188226,215685563,4
131188226,249520655,44
131188226,29398579,15
131188226,3018719294,4
131188226,303783976,58
131188226,313385516,37
131188226,318673863,150
131188226,3582554773,31
131188226,438525539,12
131188226,61121030,56
131188226,74980737,56
131188226,77509999,44
131188226,974143844,47
1324334436,1349124297034498049,16
1324334436,147994804,50
1324334436,18373968,6
1324334436,198030688,10
1324334436,215685563,3
1324334436,240649814,47
1324334436,249520655,18
1324334436,29398579,7
1324334436,3018719294,2
1324334436,303783976,32
1324334436,313385516,15
1324334436,318673863,73
1324334436,3582554773,15
1324334436,438525539,2
1324334436,52119862,14
1324334436,61121030,24
1324334436,738149822,29
1324334436,74980737,31
1324334436,77509999,26
1324334436,974143844,43
1349124297034498049,147994804,21
1349124297034498049,18373968,2
1349124297034498049,198030688,8
1349124297034498049,215685563,1
1349124297034498049,240649814,19
1349124297034498049,249520655,7
1349124297034498049,29398579,7
1349124297034498049,3018719294,3
1349124297034498049,303783976,2
1349124297034498049,313385516,17
1349124297034498049,355989081,69
1349124297034498049,3582554773,8
1349124297034498049,438525539,3
1349124297034498049,52119862,4
1349124297034498049,61121030,7
1349124297034498049,738149822,14
1349124297034498049,74980737,13
1349124297034498049,77509999,14
1349124297034498049,974143844,4
147994804,18373968,18
147994804,198030688,9
147994804,215685563,2
147994804,240649814,36
147994804,249520655,51
147994804,29398579,13
147994804,3018719294,2
147994804,303783976,23
147994804,313385516,22
147994804,3582554773,12
147994804,438525539,11
147994804,52119862,8
147994804,61121030,23
147994804,738149822,50
147994804,74980737,32
147994804,77509999,38
147994804,974143844,16
18373968,18839785,58
18373968,198030688,3
18373968,215685563,1
18373968,240649814,8
18373968,249520655,9
18373968,29398579,4
18373968,3018719294,2
18373968,303783976,3
18373968,313385516,11
18373968,318673863,25
18373968,355989081,28
18373968,3582554773,7
18373968,438525539,1
18373968,52119862,2
18373968,61121030,4
18373968,738149822,12
18373968,74980737,7
18373968,77509999,14
18373968,974143844,4
18839785,198030688,58
18839785,215685563,13
18839785,29398579,50
18839785,3018719294,18
18839785,303783976,148
18839785,438525539,32
18839785,77509999,214
198030688,215685563,1
198030688,240649814,6
198030688,249520655,5
198030688,29398579,7
198030688,3018719294,2
198030688,303783976,4
198030688,313385516,12
198030688,318673863,15
198030688,355989081,41
198030688,3582554773,7
198030688,438525539,4
198030688,52119862,3
198030688,61121030,5
198030688,738149822,8
198030688,74980737,12
198030688,77509999,16
198030688,974143844,3
215685563,240649814,2
215685563,249520655,1
215685563,29398579,1
215685563,3018719294,2
215685563,303783976,1
215685563,313385516,2
215685563,318673863,1
215685563,355989081,5
215685563,3582554773,2
215685563,438525539,1
215685563,52119862,2
215685563,61121030,2
215685563,738149822,1
215685563,74980737,2
215685563,77509999,3
215685563,974143844,2
240649814,249520655,15
240649814,29398579,8
240649814,3018719294,3
240649814,303783976,18
240649814,313385516,17
240649814,318673863,47
240649814,3582554773,12
240649814,438525539,4
240649814,52119862,13
240649814,61121030,16
240649814,74980737,29
240649814,77509999,27
240649814,974143844,15
249520655,29398579,6
249520655,3018719294,1
249520655,303783976,15
249520655,313385516,17
249520655,318673863,70
249520655,355989081,94
249520655,3582554773,7
249520655,438525539,4
249520655,52119862,7
249520655,61121030,21
249520655,738149822,37
249520655,74980737,18
249520655,77509999,26
249520655,974143844,11
29398579,3018719294,2
29398579,303783976,4
29398579,313385516,11
29398579,318673863,11
29398579,355989081,32
29398579,3582554773,8
29398579,438525539,3
29398579,52119862,4
29398579,61121030,7
29398579,738149822,11
29398579,74980737,11
29398579,77509999,17
29398579,974143844,5
3018719294,303783976,2
3018719294,313385516,4
3018719294,318673863,1
3018719294,355989081,8
3018719294,3582554773,2
3018719294,438525539,1
3018719294,52119862,1
3018719294,61121030,4
3018719294,738149822,6
3018719294,74980737,1
3018719294,77509999,5
3018719294,974143844,2
303783976,313385516,9
303783976,318673863,29
303783976,355989081,94
303783976,3582554773,6
303783976,438525539,4
303783976,52119862,1
303783976,61121030,43
303783976,738149822,22
303783976,74980737,15
303783976,77509999,17
303783976,974143844,27
313385516,318673863,39
313385516,355989081,85
313385516,3582554773,19
313385516,438525539,4
313385516,52119862,9
313385516,61121030,10
313385516,738149822,28
313385516,74980737,20
313385516,77509999,27
313385516,974143844,7
318673863,3582554773,18
318673863,438525539,19
318673863,52119862,13
318673863,61121030,32
318673863,74980737,48
318673863,77509999,56
318673863,974143844,28
355989081,438525539,31
355989081,52119862,42
355989081,77509999,118
355989081,974143844,77
3582554773,438525539,1
3582554773,52119862,5
3582554773,61121030,7
3582554773,738149822,15
3582554773,74980737,9
3582554773,77509999,16
3582554773,974143844,8
438525539,52119862,1
438525539,61121030,2
438525539,738149822,9
438525539,74980737,3
438525539,77509999,5
438525539,974143844,4
52119862,61121030,3
52119862,738149822,6
52119862,74980737,7
52119862,77509999,7
52119862,974143844,5
61121030,738149822,27
61121030,74980737,14
61121030,77509999,20
61121030,974143844,46
738149822,74980737,22
738149822,77509999,46
738149822,974143844,22
74980737,77509999,19
74980737,974143844,13
77509999,974143844,17
17741799,2451476942,41
17741799,318673863,83
17741799,735095544,17
17741799,797720168713441280,82
2451476942,318673863,105
2451476942,735095544,17
2451476942,797720168713441280,55
318673863,735095544,25
318673863,797720168713441280,241
735095544,797720168713441280,30
131188226,322430350,20
1487431723,16404141,5
1487431723,17741799,19
1487431723,18839785,93
1487431723,207809313,17
1487431723,318673863,53
1487431723,355989081,69
1487431723,390677061,38
1487431723,61121030,7
16404141,17741799,16
16404141,207809313,18
16404141,318673863,21
16404141,61121030,6
17741799,207809313,28
17741799,355989081,139
17741799,390677061,99
18839785,207809313,965
207809313,318673863,95
207809313,355989081,277
207809313,390677061,203
207809313,61121030,37
318673863,390677061,253
390677061,61121030,127
1289235667516456962,131188226,83
18839785,817976607398731776,255
18839785,834833150,27
28082599,834833150,3
390677061,834833150,12
318673863,3241214268,19
318673863,811972460560019456,26
3241214268,390677061,70
3241214268,811972460560019456,14
131188226,283632721,9
131188226,285655507,82
131188226,3489768920,148
131188226,390677061,267
131188226,75193964,120
18839785,283632721,33
283632721,285655507,6
283632721,29398579,6
283632721,3489768920,13
283632721,355989081,24
283632721,390677061,21
283632721,75193964,10
285655507,29398579,5
285655507,3489768920,44
285655507,355989081,148
285655507,390677061,110
29398579,3489768920,13
29398579,390677061,18
29398579,75193964,8
390677061,75193964,183
107724957,36327407,2
107724957,4255658358,7
1100927498,318673863,26
1100927498,36327407,11
1100927498,4255658358,49
18839785,36327407,46
318673863,36327407,5
318673863,4255658358,138
355989081,36327407,32
355989081,4255658358,360
36327407,4255658358,7
105130840,134758540,3
105130840,161634802,6
105130840,165506153,2
105130840,17741799,2
105130840,2451476942,10
105130840,385660566,3
105130840,390677061,32
105130840,44425241,4
105130840,702001481247911936,6
105130840,711760467383877632,2
105130840,817976607398731776,5
134758540,161634802,10
134758540,165506153,5
134758540,17741799,7
134758540,18839785,102
134758540,198030688,2
134758540,2451476942,8
134758540,29398579,4
134758540,355989081,79
134758540,385660566,6
134758540,390677061,26
134758540,44425241,8
134758540,52119862,4
134758540,702001481247911936,8
134758540,711760467383877632,8
134758540,74980737,7
134758540,77509999,4
134758540,817976607398731776,20
161634802,165506153,2
161634802,17741799,11
161634802,198030688,3
161634802,2451476942,13
161634802,29398579,4
161634802,355989081,93
161634802,385660566,13
161634802,390677061,33
161634802,44425241,34
161634802,52119862,4
161634802,702001481247911936,19
161634802,711760467383877632,11
161634802,74980737,8
161634802,77509999,21
161634802,817976607398731776,16
165506153,17741799,8
165506153,18839785,42
165506153,198030688,3
165506153,2451476942,13
165506153,29398579,6
165506153,355989081,29
165506153,385660566,2
165506153,390677061,12
165506153,44425241,3
165506153,52119862,4
165506153,702001481247911936,5
165506153,711760467383877632,1
165506153,74980737,8
165506153,77509999,5
165506153,817976607398731776,6
17741799,198030688,11
17741799,29398579,7
17741799,385660566,12
17741799,44425241,9
17741799,52119862,12
17741799,711760467383877632,8
17741799,74980737,41
17741799,77509999,34
17741799,817976607398731776,23
18839785,385660566,58
198030688,2451476942,9
198030688,385660566,7
198030688,390677061,22
198030688,44425241,3
198030688,702001481247911936,7
198030688,711760467383877632,3
198030688,817976607398731776,8
2451476942,29398579,12
2451476942,385660566,16
2451476942,390677061,70
2451476942,44425241,15
2451476942,52119862,7
2451476942,702001481247911936,13
2451476942,711760467383877632,8
2451476942,74980737,43
2451476942,77509999,31
2451476942,817976607398731776,29
29398579,385660566,6
29398579,44425241,4
29398579,702001481247911936,4
29398579,711760467383877632,2
29398579,817976607398731776,3
355989081,385660566,37
355989081,817976607398731776,240
385660566,390677061,16
385660566,44425241,7
385660566,52119862,3
385660566,702001481247911936,6
385660566,711760467383877632,6
385660566,74980737,9
385660566,77509999,15
385660566,817976607398731776,11
390677061,44425241,27
390677061,52119862,19
390677061,702001481247911936,23
390677061,711760467383877632,20
390677061,77509999,95
390677061,817976607398731776,77
44425241,52119862,3
44425241,74980737,12
44425241,77509999,17
44425241,817976607398731776,19
52119862,702001481247911936,4
52119862,711760467383877632,3
52119862,817976607398731776,5
702001481247911936,74980737,12
702001481247911936,77509999,9
702001481247911936,817976607398731776,13
711760467383877632,74980737,10
711760467383877632,77509999,9
711760467383877632,817976607398731776,17
74980737,817976607398731776,33
77509999,817976607398731776,22
355989081,797720168713441280,357
390677061,4255658358,194
390677061,797720168713441280,223
4255658358,811972460560019456,35
797720168713441280,811972460560019456,11
1368737382,137656171,38
1368737382,1591419488,2
1368737382,2686834802,22
1368737382,46645746,21
1368737382,75193964,48
1368737382,797720168713441280,49
1368737382,937664212511309827,24
137656171,1591419488,4
137656171,2686834802,21
137656171,390677061,86
137656171,46645746,13
137656171,797720168713441280,30
137656171,937664212511309827,12
1591419488,18839785,14
1591419488,2686834802,2
1591419488,355989081,12
1591419488,390677061,5
1591419488,46645746,2
1591419488,75193964,5
1591419488,797720168713441280,4
1591419488,937664212511309827,3
18839785,2686834802,293
18839785,46645746,181
18839785,937664212511309827,133
2686834802,355989081,122
2686834802,390677061,50
2686834802,46645746,12
2686834802,75193964,16
2686834802,797720168713441280,20
2686834802,937664212511309827,11
355989081,46645746,102
355989081,937664212511309827,55
390677061,46645746,56
390677061,937664212511309827,22
46645746,75193964,39
46645746,797720168713441280,57
46645746,937664212511309827,15
75193964,797720168713441280,97
75193964,937664212511309827,12
797720168713441280,937664212511309827,14
34245009,44839509,2
129057534,131188226,43
129057534,147994804,31
129057534,158588740,15
129057534,17741799,21
129057534,1934388686,30
129057534,249520655,22
129057534,28082599,39
129057534,285655507,16
129057534,318673863,33
129057534,390677061,65
129057534,77509999,29
131188226,158588740,36
131188226,17741799,74
131188226,1934388686,99
131188226,28082599,57
131188226,797720168713441280,134
147994804,158588740,17
147994804,17741799,41
147994804,1934388686,52
147994804,28082599,34
