Id,Community,retweeted_screen_name,Text,Time
1133737532443766784,0,AntiguaOpm,RT @AntiguaOpm: Thanking PM Modi for the 500K AstraZeneca  vaccines that he generously and selflessly shared with the Caribbean to assist i…,2021-03-01T21:04:15.000Z
18839785,0,narendramodi,"RT @narendramodi: Took my first dose of the COVID-19 vaccine at AIIMS. 

Remarkable how our doctors and scientists have worked in quick tim…",2021-03-01T02:35:57.000Z
249520655,0,mvmeet,"RT @mvmeet: These 60+ years old journalists were spreading fake news during corona pandemic

* Vinod Dua
* Prannoy Roy
* Karan Thapar
* She…",2021-03-01T07:10:35.000Z
120649992,0,iMac_too,RT @iMac_too: Kotak said hesitancy does NOT seem to be there. See the headline,2021-03-01T12:18:23.000Z
1289235667516456962,0,BefittingFacts,RT @BefittingFacts: Congress has so much hate against PM Modi that they are ready to risk their life with Corona saying they have left 8-10…,2021-03-01T09:00:40.000Z
147994804,0,rishibagree,"RT @rishibagree: 3 News that turn out to be #FakeNews in last 24 hr

1. NDTV shares 2019 Brigade rally picture as the recent one.

2. NDTV…",2021-03-01T13:49:43.000Z
322430350,0,my2bit,RT @my2bit: If Congress was in power vaccines would be fully imported. Cost per vaccine would have easily been Rs. 1000. Because Congress i…,2021-03-01T14:46:17.000Z
355989081,0,ANI,RT @ANI: #WATCH: Prime Minister Narendra Modi took his first dose of the #COVID19 vaccine at AIIMS Delhi today. He was administered Bharat…,2021-03-01T02:54:59.000Z
702001481247911936,0,moronhumor,"RT @moronhumor: Just to rub it in - the nurse administering the jab is from “Puducherry”, the one standing behind him is from “Kerala” and…",2021-03-01T03:27:53.000Z
1323885145577807872,0,KadamRushikes15,RT @KadamRushikes15: Today our honourable PM नरेंद्र मोदी Took his first dose of The Covide 19 Vaccine At AIIMS. https://t.co/g3ivjo8zDL,2021-03-01T04:53:46.000Z
1324334436,0,PiyushGoyal,"RT @PiyushGoyal: A true leader of the people, by the people &amp; for the people

Today, PM @NarendraModi ji reached AIIMS early in the morning…",2021-03-01T16:43:06.000Z
1657730988,1,Ram_Guha,RT @Ram_Guha: Modi Only World Leader to Use COVID Vaccination Certificate to Push Cult of Personality https://t.co/hEOJUhrILw,2021-03-01T08:39:04.000Z
2150403589,0,PawarSpeaks,"RT @PawarSpeaks: I took my first dose of the #COVID19Vaccine in Sir J. J. Hospital, Mumbai today. To strengthen the Vaccination Drive, I ap…",2021-03-01T14:18:44.000Z
2289628938,0,HardeepSPuri,"RT @HardeepSPuri: India's PM.
India's Vaccine.

PM Modi drives to AIIMS like an ordinary citizen to lead the charge at the world's #Largest…",2021-03-01T09:58:56.000Z
2451476942,0,SwarajyaMag,"RT @SwarajyaMag: NDTV Deletes Report After Health Ministry Calls Out Claim That SC Judges Will Get To Choose Covid Vaccine

https://t.co/jq…",2021-03-01T18:46:02.000Z
37034483,0,ndtv,"RT @ndtv: ""Took my first dose of the #COVID19 vaccine at AIIMS"": Prime Minister Narendra Modi https://t.co/VTt6BrsdfB",2021-03-01T01:41:27.000Z
39743812,0,EconomicTimes,RT @EconomicTimes: Infosys founder NR Narayana Murthy said he was very inspired by prime minister Narendra Modi visiting the AIIMS in Delhi…,2021-03-01T17:12:41.000Z
44839509,0,CNBCTV18Live,"RT @CNBCTV18Live: PM @narendramodi takes his first dose of COVID-19 vaccine at AIIMS Delhi

#COVID19 #Vaccine https://t.co/81crh69gHR",2021-03-01T07:23:20.000Z
45261768,1,srivatsayb,"RT @srivatsayb: AIIMS was built by Congress Govt of Nehru

NURSES from Puducherry &amp; Kerala would have studied &amp; trained under Congress Govt…",2021-03-01T07:28:04.000Z
887606425479856128,0,VPSecretariat,"RT @VPSecretariat: I took my first dose of COVID-19 vaccine at Government Medical College, Chennai today. 

I will be taking the 2nd dose a…",2021-03-01T08:38:58.000Z
1065563383,0,blsanthosh,RT @blsanthosh: Waits for his turn acc to rules .. On the day becomes first person to get vaccinated ... goes to AIIMS as a common man ...…,2021-03-01T05:04:35.000Z
143409262,0,DoctorLFC,RT @DoctorLFC: The watchman who once told me that corona sey toh vaccine khatarnak hai just said that Modi ji ne le liya hai toh ab kya gha…,2021-03-01T13:37:21.000Z
43077446,0,Gadgets360,"RT @Gadgets360: Chinese hackers reportedly targeted Serum Institute of India and Bharat Biotech  
https://t.co/5HVD02c94d https://t.co/SiKy…",2021-03-01T22:15:52.000Z
1934388686,0,ShefVaidya,RT @ShefVaidya: A good leader leads from the front! Proud of having a PM like @narendramodi,2021-03-01T03:21:19.000Z
2512765266,0,IMinakshiJoshi,RT @IMinakshiJoshi: It's again a message to one n all that #COVID19Vaccine researched and made in #India .. is safe for all.,2021-03-01T01:48:52.000Z
318673863,0,AskAnshul,"RT @AskAnshul: The Wire, Economic Times, The Hindu reported fake news: South Africa has asked Serum Institute of India to take back one mil…",2021-03-01T06:39:41.000Z
1897514666,0,dpradhanbjp,RT @dpradhanbjp: PM Shri @narendramodi always leads by example. Getting inoculated after our health workers &amp; frontline warriors and only w…,2021-03-01T03:35:06.000Z
146360682,0,DrJitendraSingh,"RT @DrJitendraSingh: PM Sh @NarendraModi chose early morning hours to take COVID vaccination. No traffic stopped. Traveled normally, filled…",2021-03-01T12:33:39.000Z
4255658358,0,AkbaruddinIndia,"RT @AkbaruddinIndia: Took Dose 1 on Day 1 in Phase 2 of #COVID19Vaccine Drive.

From registration to vaccination, took less time than my da…",2021-03-01T13:36:04.000Z
941134694,1,drshamamohd,"RT @drshamamohd: 500,000 doses of #Covid19 vaccine made by Serum Institute of India set to arrive in Canada. India already exported 24 mill…",2021-03-01T15:20:43.000Z
138822469,0,OmarAbdullah,RT @OmarAbdullah: My parents &amp; people in their age group need the vaccine before I do &amp; I need it before Gen Y &amp; Gen Z get theirs. It’s not…,2021-03-01T09:11:17.000Z
1368737382,0,sambitswaraj,"RT @sambitswaraj: This indeed is a “Confidence instilling” picture
Our PM lead the war against Corona in an exemplary way,saved innumerable…",2021-03-01T04:04:28.000Z
